id,url,reply_to,text,time
563679675304182,https://m.facebook.com/groups/babysleeptrainingtips/permalink/563679675304182/,,"Hey y’all, I feel like this needs to be said because I’ve been seeing a lot of posts about sleep training at a VERY young age, moms upset because of their babies waking up so often, the whole works! Mind you- everyone is entitled to their own opinion, you can agree to disagree with me, this is NOT me mom shaming or coming at anyone, this is coming from a place of love and support, and whether you decide to take this advice or not is totally up to you!
•Newborns usually are going to wake often. Their tummies are so small and for about the first 6 weeks, they just want to bond with you, and be reassured they have that trust and security with you.
•if you are concerned they’re waking up more than they should or can’t seem to settle after you put them back to sleep, look into reflux, gas, food sensitivities, tongue ties, or their sleep environment (temp of room, dark or too much light, white noise, what they’re sleeping in/on, etc)
•some will argue sleep training is acceptable at all ages. From things I have read, researched, and the multiple professional opinions I have gotten, sleep training is only beneficial starting as young as 4 months, when your baby is able to differentiate days and nights, connect sleep cycles, produce natural melatonin, and have an established bond with mom/dad.
•there are quite a few different sleep training methods, CIO is not your only option!! I urge y’all to Google and read up on the different methods because what works for one baby might not work for yours!
Motherhood is none the less exhausting. It brings out the best and the worst in us. Please know if you feel you are at your wits end, it is 100% okay to put baby in a safe spot and take a breather. We are only human, it’s okay to feel the emotions I’m sure all of us do and have felt.
Seriously, Google has been my best friend, the pediatrician’s office knows me on a first name basis, my mom is probably on the verge of blocking my number because I call her SO much lol, and I have probably ordered about 5 different books and read them all twice. Don’t get discouraged about posts you see, every baby is different! Mine was sleeping through the night and then in an instant I got humbled with the notorious ✨4 month sleep regression✨ it happens!! Everyone drink some water and hang in there lol","06/20/2022, 16:19:56"
563803088625174,https://facebook.com/563803088625174,563679675304182,"i agree, my baby is 10 weeks old and I let her sleep when she wants to sleep and I can say I am very lucky cause she ain't fussy and she sleeps from 9pm til 4am and it don't take her long to sleep after feeding her at 4am then she wakes up at 9am again. I honestly dread the 4 month regression but I am mentally prepared for it let's see how it goes 😅","06/20/2022, 00:00:00"
564133731925443,https://facebook.com/564133731925443,563803088625174,April Willis I truly hope your 4mo sleep regression isn’t as bad as ours was. During the day it was every 30 minutes and at night was every 1.5hrs 😭 no one can prepare for that kind of insanity. Prior to this he was sleeping 10hrs at night so it was devastating,"06/21/2022, 00:00:00"
563949901943826,https://facebook.com/563949901943826,563679675304182,"I appreciate this post. With my first I tried a bit too hard to put her into a schedule , sleep training and EASY routine. All I found myself was depression, stress, anger, constant fights with my partner and lots of tears. With my second who is 7ish weeks old I also first tried the same thing and the same negative reactions happened. Now I just go with the flow and try my best to be there for both of the children. And I have slowly found some peace for my mind. Of course there are ups and downs but at the end of the day I am grateful and content.","06/20/2022, 00:00:00"
563792511959565,https://facebook.com/563792511959565,563679675304182,Love this. I had been told by so many my baby needed schedule so I had it in my mind at 5-6 weeks gotta get this down and it wasn’t happening and I’d be frustrated and upset. She’s now 12 weeks and still not a firm sleep schedule down but I do what works best each night based on her cues,"06/20/2022, 00:00:00"
563794678626015,https://facebook.com/563794678626015,563792511959565,Christa Milefchik right! Tried to do the same with my little one and it was tiring for both of us. Once I just let go and went off cues it’s been SO much better,"06/20/2022, 00:00:00"
563948918610591,https://facebook.com/563948918610591,563792511959565,Christa Milefchik mine is nearly 8 months and we don’t do schedules - I just follow her lead and it seems to be working a lot better for us than trying to fit her in the ‘norms’ x,"06/20/2022, 00:00:00"
563951658610317,https://facebook.com/563951658610317,563679675304182,"Love this post. I think a lot of us have unrealistic expectations especially with the first baby, we want to do what is best of them so we try to follow all this advice of how long should they be staying awake, how often should they eat, etc. I did that too but realised every baby is unique and once I stopped all fell into place - both me and my little girl are much happier that way xxx","06/20/2022, 00:00:00"
563847171954099,https://facebook.com/563847171954099,563679675304182,"100%! My little guy didn’t sleep through the night until he was at least 6 months old, and even now he will usually wake once a night for a feed. He’s almost 9 months now.","06/20/2022, 00:00:00"
563976635274486,https://facebook.com/563976635274486,563679675304182,"So timely that u posted this, I was thinking the same. I have an almost 4 year old who still often wakes multiple times a night. Shes just a sensitive child. Being a parent is a 24/7 gig. It is hard and challenging and its totally okay to admit that. Life will literally never be the same! 🥰","06/21/2022, 00:00:00"
