id,url,reply_to,text,time
563625725309577,https://m.facebook.com/groups/babysleeptrainingtips/permalink/563625725309577/,,"Hi sleepy parents! I share some of these before and afters on my instgram page and thought they might be good visuals here in case you’re struggling with similar things. I can definitely help you too! It can be really tough to navigate this on your own. If we were to work together on this, I would start my doing a full in-take to see what is going on with YOUR little one. I would then use that to write a sleep plan specific to your situation and needs. This plan, as well as the follow up text support while you implement the plan, is KEY to success!

Do any of these BEFORE sides look like your situation?

Please let me know what questions or concerns you have about working with a sleep consultant? Happy to talk through it with you!

You can send me a DM and ill send you a sleep assesmemt form to fill out as a first step to working together.

EDIT: If you’re open to hiring a sleep consultant to help you meet your sleep goals with your little one please start by filling out this form and we can chat more!

https://www.honeybook.com/widget/rested_home_200052/cf_id/629777a868fddd02de4925bd","06/20/2022, 14:16:46"
563636091975207,https://facebook.com/563636091975207,563625725309577,Yes!! All of month 11. Even though baby is 7 months. Lol husband had the hardest time last night. I rarely get time to myself. I don't get to spend hours time with my 2 yr old because baby is a bit demanding...,"06/20/2022, 00:00:00"
563659275306222,https://facebook.com/563659275306222,563636091975207,I'm in this exact same boat with my 7 month old,"06/20/2022, 00:00:00"
564121858593297,https://facebook.com/564121858593297,563625725309577,"Does the method involves letting the baby cry (even if it’s for awhile)? Bcs I tried feber method, so cry it out, and she wont give up, and if I try to calm her down she cries even more. She loses her breath… and I don’t mind putting her to sleep every time, but if she doesn’t feel me she will wake up not even 5 min later, for naps, night time…","06/21/2022, 00:00:00"
564343935237756,https://facebook.com/564343935237756,564121858593297,Helen Wise I would not recommend CIO or Ferber until you know all the pieces are in place for babies to be successful and what we’re asking baby to do is fair. One of the many methods I use is similar to Ferber but I have some issues with Ferber and I’m not surprised that I did not￼￼ work 🥺,"06/21/2022, 17:21:45"
563671678638315,https://facebook.com/563671678638315,563625725309577,"I would like some advice on my 5 month old. She doesn't always self settle to sleep at night but sleeps from 8pm-5am.... I would also like her to sleep until around 7 without a wake up.

4 naps a day... 30minutes-1.5 hours","06/20/2022, 00:00:00"
564286531910163,https://facebook.com/564286531910163,563625725309577,"Is it too late to sleep train a 3, almost 4, year old? He was rocked to sleep or snuggled in his bed once he was switched to a twin bed but would always sleep through the night. He regressed after baby brother was born 5 months ago and now wakes all through the night and will not put himself back to sleep. Baby is 5 months and also wakes every 2-4 hours to nurse. So between the two of them this mama is exhausted!","06/21/2022, 00:00:00"
564343248571158,https://facebook.com/564343248571158,564286531910163,Stephanie Carpenter never too late! I work with kids that age a lot.,"06/21/2022, 17:21:46"
564343508571132,https://facebook.com/564343508571132,564286531910163,"Stephanie Carpenter Would you mind filling out this sleep assessment form? It will help me gather a little bit more information on what’s going on.

https://
www.honeybook.co
m/widget/
rested_home_2000
52/cf_id/
629777a868fddd02
de4925bd","06/21/2022, 17:21:46"
563734848631998,https://facebook.com/563734848631998,563625725309577,Yesss! Advice on 8 month old having a tough time lately. Him waking up very early in the morning and not taking naps as much as well. 🥲 he doesn’t know how to fall asleep on his own yet,"06/20/2022, 00:00:00"
