id,url,reply_to,text,time
550631706608979,https://m.facebook.com/groups/babysleeptrainingtips/permalink/550631706608979/,,"Hi Guys,
My 6 months old Goes to bed at around 9 and sleeps until 5/6. He wakes Up hungry one or twice a night and then Goes Back to sleep quite fast ..so that is OK for me and for now i am happy with His sleeping pattern.
The Thing is that in the morning He never wakes Up without crying. For about an hour before waking Up He moves a Lot and Starts crying and screaming, then sleeps again for a few minutes, then cries again. At First i thought IT might be Gas Bit as soon aß He wakes Up He is normally all smiles...
Does anyone experience the Same ? What could IT BE? Is He dreaming? I try changing His Position, cuddling hin, talking to hin Bit He seems unresponsive.","06/01/2022, 02:40:03"
552300526442097,https://facebook.com/552300526442097,550631706608979,If he is waking up crying every day that means it's the heavy diaper. Change diapers in between without disturbing the baby. Took me awhile to figure out for my daughter. Now she wakes up without crying. It's such a relief,"06/01/2022, 17:40:03"
554250526247097,https://facebook.com/554250526247097,552300526442097,"Nivedha Rajamanie I also learnt this, coz I’d think his hungry , so now wen he wakes up I change his diaper, then feed. Also before I got to bed I change his diaper coz he sleeps from 11-6","06/08/2022, 17:40:05"
550655873273229,https://facebook.com/550655873273229,550631706608979,My baby does that then I just hold him upright and start talking to him then he starts smiling because he's completely awake then,"06/01/2022, 17:40:03"
550676303271186,https://facebook.com/550676303271186,550655873273229,Jessica Marais exactly what I do!,"06/01/2022, 17:40:06"
550686756603474,https://facebook.com/550686756603474,550655873273229,Jessica Marais I do something similar.,"06/01/2022, 17:40:06"
552157549789728,https://facebook.com/552157549789728,550655873273229,Jessica Marais same!!,"06/01/2022, 17:40:06"
553841416288008,https://facebook.com/553841416288008,550631706608979,Lots of people saying bad dreams. I was told babies didn’t dream until like 18 months. Was I told wrong?? Now I’m very curious,"06/08/2022, 17:40:03"
554024806269669,https://facebook.com/554024806269669,553841416288008,"Tatum Blair they start dreaming in the womb around 28 weeks, so I’m a bit confused","06/08/2022, 17:40:07"
554216436250506,https://facebook.com/554216436250506,553841416288008,CraDeja Campbell-Thomas ya I had baby apps that told me that too! But then everything else I’ve read says that they can’t dream since they can’t even perceive reality 🤷🏻‍♀️,"06/08/2022, 17:40:07"
551401916531958,https://facebook.com/551401916531958,550631706608979,My daughter (7months) has recently been having nightmares it seems. She don't do this all the time but I can tell by the cry it's bad dreams. I just hold/kiss hug and sing to her.💔 I did notice when she goes to bed too late or not a schedule nap routine this happens more.,"06/01/2022, 17:40:03"
550885366583613,https://facebook.com/550885366583613,550631706608979,"Has he been doing this for a long while? My babygirl did this almost every morning. She cried when she got tired and when she woke up in the middle of the night and when she woke in the morning. Never when she got up from naps in the middle of the day. Now, she is almost 9 months and for the last month she has woke up every single time with a huge smile on her face. I honestly think it was just her still getting used to the world and how she feels in it. Getting put to a deep sleep and waking up from it must be traumatic for a little baby. Hang in there. If there is an appointment coming up, for sure mention it, but if you don’t see signs of something possibly wrong during the day and this is a cycle, hang in there and give him a little more time to adjust to this routine.","06/01/2022, 17:40:03"
551009499904533,https://facebook.com/551009499904533,550631706608979,Mine is 3 months and does this too. Been asking myself wat the problem is coz I'm thinking he is still young for teething. Every morning same time.,"06/01/2022, 17:40:03"
550648353273981,https://facebook.com/550648353273981,550631706608979,Teething shame mom give him something for teething and rub the gums .,"06/01/2022, 17:40:03"
550947806577369,https://facebook.com/550947806577369,550648353273981,Kelsie Williams. Im not shaming her..im afrikaans we don't mean it like you think we do!!!!,"06/01/2022, 17:40:08"
551022666569883,https://facebook.com/551022666569883,550648353273981,"Kelsie Williams Hi Mama, she meant it in an loving/
enduring way it’s like saying “ poor baby, ncooh baby or awww my baby” I hope I’m making sense. Her context is different. Its a South African thing I guess, it’s not only an Afrikaans way of saying something. Context doesn’t come across well with texting.","06/01/2022, 17:40:08"
551623596509790,https://facebook.com/551623596509790,550631706608979,"Our 6 month old does the same every morning, we talk to him, and touch him, and tell him to open his eyes😊 it sounds silly, but once he starts opening his eyes, he stops and gives a big smile! It's like he forgets he needs to open his eyes 🙈🤭","06/01/2022, 17:40:03"
551881286484021,https://facebook.com/551881286484021,550631706608979,"One of my twin boys does that sometimes, I calmly tell him to open his eyes and once he does he smile. However, I do agree that the bedtime is a little late for him. Download huckleberry app and it can help you with naps and bedtime. My boys are 4 months and are in bed by 7:30ish.

Keep up the good work mama and teething can also be happening. Maybe get some stuff to rub on his gums and some Tylenol. 💙","06/01/2022, 17:40:03"
